Days,Survival,Virus,WolVirus,TechRep,BiolRep
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
5,1,1,0,B,1
6,1,1,0,B,1
6,1,1,0,B,1
6,1,1,0,B,1
6,1,1,0,B,1
6,1,1,0,B,1
6,1,1,0,B,1
7,1,1,0,B,1
7,1,1,0,B,1
8,1,1,0,B,1
5,1,1,0,C,2
5,1,1,0,C,2
5,1,1,0,C,2
6,1,1,0,C,2
6,1,1,0,C,2
6,1,1,0,C,2
7,1,1,0,C,2
7,1,1,0,C,2
7,1,1,0,C,2
7,1,1,0,C,2
5,1,1,0,D,3
5,1,1,0,D,3
6,1,1,0,D,3
6,1,1,0,D,3
6,1,1,0,D,3
6,1,1,0,D,3
6,1,1,0,D,3
6,1,1,0,D,3
6,1,1,0,D,3
7,1,1,0,D,3
2,1,1,1,E,1
5,1,1,1,E,1
6,1,1,1,E,1
6,1,1,1,E,1
6,1,1,1,E,1
6,1,1,1,E,1
6,1,1,1,E,1
6,1,1,1,E,1
6,1,1,1,E,1
7,1,1,1,E,1
2,1,1,1,F,2
5,1,1,1,F,2
6,1,1,1,F,2
6,1,1,1,F,2
6,1,1,1,F,2
7,1,1,1,F,2
7,1,1,1,F,2
7,1,1,1,F,2
8,1,1,1,F,2
8,1,1,1,F,2
4,1,1,1,G,3
5,1,1,1,G,3
5,1,1,1,G,3
6,1,1,1,G,3
7,1,1,1,G,3
7,1,1,1,G,3
7,1,1,1,G,3
