Number,Sample_Name,Target_Takeoff,Reference_Takeoff
1,1,25.4,16.4
2,1,25.5,16.2
3,2,23.6,16.5
4,2,23.2,16.6
5,3,21.9,18.6
6,3,22,18.7
7,4,15.5,20.7
8,4,15.3,20.4
9,5,15.5,25.2
10,5,15.5,25.1
11,6,16.9,28.4
12,6,17.1,28.1
13,7,14.2,26.8
14,7,14.3,26.6
15,8,26.3,17.6
16,8,26.4,17.7
17,9,29.2,18.5
18,9,29.3,18.5
19,10,26.8,19.2
20,10,26.8,19.3
21,11,22.2,20.8
22,11,22,20.7
23,12,17.1,19.1
24,12,17.1,19.2
25,13,12,19.2
26,13,12.1,19.2
27,14,12.1,20.2
28,14,12,20.3
29,15,16,26.3
30,15,16,26.2
31,16,25.3,18.2
32,16,25.5,18.3
33,17,27.8,18.4
34,17,28,18.8
35,18,21.8,17.7
36,18,21.8,17.9
37,19,13.6,17.3
38,19,13.7,17.7
39,20,15.1,25.6
40,20,15,25.8
41,21,18.1,27.2
42,21,18,27.1
43,22,14.3,25.6
44,22,14.2,25.6
45,23,25.8,17.6
46,23,25.5,17.6
47,24,23.1,18
48,24,23.1,18
49,25,28,19.2
50,25,27.8,19.4
51,26,20.7,19.2
52,26,20.8,19.5
53,27,19.9,19.6
54,27,20,19.8
55,28,12.6,18.1
56,28,12.6,18
57,29,12.9,20
58,29,13,20.3
59,30,14.6,24.2
60,30,14.7,24.3
61,31,27.9,19.6
62,31,27.9,19.5
63,32,27.6,19.6
64,32,27.4,19.7
65,33,19.9,18.8
66,33,19.9,18.8
67,34,12.9,18.9
68,34,13,18.7
69,35,12.3,21
70,35,12.5,20.9
71,36,16.2,27.6
72,36,16.3,27.1
73,37,13,24.4
74,37,13.2,24.4
75,38,12.3,25.1
76,38,12.3,25.1
77,39,28,18.3
78,39,28.1,18.4
79,40,27.5,17.8
80,40,27.7,17.8
81,41,25.3,19.5
82,41,25.2,19.4
83,42,19,19
84,42,18.9,18.9
85,43,15.6,18
86,43,15.5,18.1
87,44,12.6,18.3
88,44,12.5,18.3
89,45,13.4,18.2
90,45,13.4,18.3
91,46,13.3,21.2
92,46,13.3,21.3
93,47,13.5,21.2
94,47,13.6,21.3
95,48,19.4,14.6
96,48,18.8,14.9
97,49,19.5,15.7
98,49,19.6,15.7
99,50,19.3,14.9
100,50,19.1,15
101,51,19.9,13.8
102,51,19.7,14
103,52,20.5,14.1
104,52,20.4,13.8
105,53,19.7,13.4
106,53,19.4,13.5
107,54,20,14.2
108,54,20,14.8
109,55,19.6,13.7
110,55,19.7,13.8
111,56,20.8,15.6
112,56,21,15.8
113,57,19,14.5
114,57,18.9,14.3
115,58,21,15.1
116,58,21.6,14.9
117,59,20.2,13.6
118,59,20.3,13.9
119,60,14.6,15.8
120,60,14.6,15.3
121,61,14.5,15.6
122,61,15.1,15.9
123,62,15.2,16.3
124,62,15.3,16.5
125,63,20.6,15.9
126,63,20.7,16.1
127,64,21.2,15.9
128,64,21,15.9
129,65,19.7,15.4
130,65,19.8,15.4
131,66,11.5,19
132,66,11.5,19.1
133,67,12.4,19.6
134,67,12.3,19.6
135,68,12.5,18.9
136,68,12.9,19.1
137,69,22,19.4
138,69,22.2,19.3
139,70,23,19.7
140,70,22.8,19.5
141,71,18.7,19.5
142,71,19.2,19.3
143,72,12.9,22
144,72,12.8,22.5
145,73,13.6,22.6
146,73,13.7,22.5
147,74,13.4,22.4
148,74,13.5,22.6
149,75,20.8,20.8
150,75,20.8,21
151,76,19.1,20.4
152,76,19.2,20.4
153,77,17.8,20.7
154,77,17.9,20.9
155,78,12.1,22.6
156,78,12.1,22.4
157,79,13,24.1
158,79,13.1,24
159,80,11.5,23.1
160,80,11.6,23.3
161,81,17.3,21.6
162,81,17.3,21.6
163,82,15.1,20.4
164,82,15.1,20.5
165,83,15.4,20.8
166,83,15.5,21
167,84,12.2,23.9
168,84,12.3,23.8
169,85,12.8,24.8
170,85,12.9,24.9
171,86,11.9,24
172,86,12,24.1
173,87,14.8,22.3
174,87,14.7,22.4
175,88,11.8,20.4
176,88,11.9,20.6
177,89,13.9,20.5
178,89,13.8,20.8
