Days,Survival,Wol,Virus,TechRep,BiolRep
8,1,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,B,1
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,0,0,0,K,2
8,1,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,L,2
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
8,0,0,0,U,3
2,1,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
8,0,0,0,V,3
2,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AE,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
8,0,0,0,AF,4
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,0,1,0,F,1
11,1,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
11,0,1,0,G,1
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,P,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
23,0,1,0,Q,2
2,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,Z,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AA,3
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,0,1,0,AJ,4
18,1,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
18,0,1,0,AK,4
3,1,0,1,C,1
4,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
6,1,0,1,C,1
6,1,0,1,C,1
6,1,0,1,C,1
7,1,0,1,C,1
8,1,0,1,C,1
8,1,0,1,C,1
2,1,0,1,D,1
3,1,0,1,D,1
4,1,0,1,D,1
4,1,0,1,D,1
4,1,0,1,D,1
4,1,0,1,D,1
5,1,0,1,D,1
5,1,0,1,D,1
5,1,0,1,D,1
5,1,0,1,D,1
5,1,0,1,D,1
5,1,0,1,D,1
5,1,0,1,D,1
6,1,0,1,D,1
7,1,0,1,D,1
7,1,0,1,D,1
8,1,0,1,D,1
4,1,0,1,E,1
5,1,0,1,E,1
5,1,0,1,E,1
5,1,0,1,E,1
5,1,0,1,E,1
5,1,0,1,E,1
5,1,0,1,E,1
6,1,0,1,E,1
6,1,0,1,E,1
6,1,0,1,E,1
7,1,0,1,E,1
7,1,0,1,E,1
7,1,0,1,E,1
7,1,0,1,E,1
7,1,0,1,E,1
8,1,0,1,E,1
4,1,0,1,M,2
5,1,0,1,M,2
5,1,0,1,M,2
5,1,0,1,M,2
5,1,0,1,M,2
5,1,0,1,M,2
6,1,0,1,M,2
6,1,0,1,M,2
6,1,0,1,M,2
6,1,0,1,M,2
6,1,0,1,M,2
6,1,0,1,M,2
6,1,0,1,M,2
6,1,0,1,M,2
6,1,0,1,M,2
6,1,0,1,M,2
6,1,0,1,M,2
7,1,0,1,M,2
7,1,0,1,M,2
8,1,0,1,M,2
5,1,0,1,N,2
5,1,0,1,N,2
5,1,0,1,N,2
5,1,0,1,N,2
6,1,0,1,N,2
6,1,0,1,N,2
6,1,0,1,N,2
6,1,0,1,N,2
6,1,0,1,N,2
6,1,0,1,N,2
6,1,0,1,N,2
7,1,0,1,N,2
7,1,0,1,N,2
7,1,0,1,N,2
7,1,0,1,N,2
7,1,0,1,N,2
7,1,0,1,N,2
7,1,0,1,N,2
8,1,0,1,N,2
8,1,0,1,N,2
5,1,0,1,O,2
5,1,0,1,O,2
5,1,0,1,O,2
5,1,0,1,O,2
5,1,0,1,O,2
5,1,0,1,O,2
5,1,0,1,O,2
6,1,0,1,O,2
6,1,0,1,O,2
6,1,0,1,O,2
6,1,0,1,O,2
6,1,0,1,O,2
6,1,0,1,O,2
6,1,0,1,O,2
7,1,0,1,O,2
7,1,0,1,O,2
7,1,0,1,O,2
7,1,0,1,O,2
7,1,0,1,O,2
8,1,0,1,O,2
3,1,0,1,W,3
5,1,0,1,W,3
5,1,0,1,W,3
5,1,0,1,W,3
5,1,0,1,W,3
5,1,0,1,W,3
6,1,0,1,W,3
6,1,0,1,W,3
6,1,0,1,W,3
6,1,0,1,W,3
6,1,0,1,W,3
6,1,0,1,W,3
7,1,0,1,W,3
7,1,0,1,W,3
7,1,0,1,W,3
7,1,0,1,W,3
7,1,0,1,W,3
7,1,0,1,W,3
8,1,0,1,W,3
8,1,0,1,W,3
3,1,0,1,X,3
5,1,0,1,X,3
5,1,0,1,X,3
5,1,0,1,X,3
5,1,0,1,X,3
5,1,0,1,X,3
5,1,0,1,X,3
7,1,0,1,X,3
7,1,0,1,X,3
7,1,0,1,X,3
7,1,0,1,X,3
7,1,0,1,X,3
7,1,0,1,X,3
7,1,0,1,X,3
8,1,0,1,X,3
8,1,0,1,X,3
8,1,0,1,X,3
8,1,0,1,X,3
4,1,0,1,Y,3
5,1,0,1,Y,3
6,1,0,1,Y,3
