Sample,Time,Replicate,Line
1,0,1,0
2,6,1,0
3,10,1,0
4,24,1,0
5,48,1,0
6,72,1,0
7,96,1,0
8,0,1,1
9,6,1,1
10,10,1,1
11,24,1,1
12,48,1,1
13,72,1,1
14,96,1,1
15,168,1,1
16,0,2,0
17,6,2,0
18,10,2,0
19,24,2,0
20,48,2,0
21,72,2,0
22,96,2,0
23,0,2,1
24,6,2,1
25,10,2,1
26,24,2,1
27,48,2,1
28,72,2,1
29,96,2,1
30,168,2,1
31,0,3,0
32,6,3,0
33,10,3,0
34,24,3,0
35,48,3,0
36,72,3,0
37,96,3,0
38,168,3,0
39,0,3,1
40,6,3,1
41,10,3,1
42,24,3,1
43,48,3,1
44,72,3,1
45,96,3,1
46,168,3,1
47,240,3,1
48,0,4,0
49,0,5,0
50,0,6,0
51,0,4,1
52,0,5,1
53,0,6,1
54,6,4,0
55,6,5,0
56,6,6,0
57,6,4,1
58,6,5,1
59,6,6,1
60,10,4,0
61,10,5,0
62,10,6,0
63,10,4,1
64,10,5,1
65,10,6,1
66,24,4,0
67,24,5,0
68,24,6,0
69,24,4,1
70,24,5,1
71,24,6,1
72,48,4,0
73,48,5,0
74,48,6,0
75,48,4,1
76,48,5,1
77,48,6,1
78,72,4,0
79,72,5,0
80,72,6,0
81,72,4,1
82,72,5,1
83,72,6,1
84,96,4,0
85,96,5,0
86,96,6,0
87,96,4,1
88,96,5,1
89,96,6,1
