Days,Survival,Virus,Wol,TechRep,BiolRep
2,1,0,0,A,1
8,1,0,0,A,1
10,0,0,0,A,1
10,0,0,0,A,1
10,0,0,0,A,1
10,0,0,0,A,1
10,0,0,0,A,1
10,0,0,0,A,1
10,0,0,0,A,1
10,1,0,0,B,1
10,0,0,0,B,1
10,0,0,0,B,1
10,0,0,0,B,1
10,0,0,0,B,1
10,0,0,0,B,1
10,0,0,0,B,1
10,0,0,0,B,1
10,0,0,0,B,1
10,0,0,0,B,1
10,0,0,0,C,1
10,0,0,0,C,1
10,0,0,0,C,1
10,0,0,0,C,1
10,0,0,0,C,1
10,0,0,0,D,1
10,0,0,0,D,1
10,0,0,0,D,1
10,0,0,0,D,1
10,0,0,0,D,1
10,0,0,0,E,2
10,0,0,0,E,2
10,0,0,0,E,2
10,0,0,0,E,2
10,0,0,0,E,2
7,1,0,0,F,2
10,0,0,0,F,2
10,0,0,0,F,2
10,0,0,0,F,2
10,0,0,0,F,2
10,0,0,0,F,2
10,0,0,0,G,3
10,0,0,0,G,3
10,0,0,0,G,3
10,0,0,0,G,3
10,0,0,0,G,3
10,0,0,0,G,3
10,0,0,0,G,3
10,0,0,0,G,3
10,0,0,0,G,3
6,1,1,0,H,1
6,1,1,0,H,1
6,1,1,0,H,1
7,1,1,0,H,1
7,1,1,0,H,1
7,1,1,0,H,1
7,1,1,0,H,1
7,1,1,0,H,1
7,1,1,0,H,1
7,1,1,0,H,1
7,1,1,0,H,1
7,1,1,0,H,1
8,1,1,0,H,1
5,1,1,0,I,1
6,1,1,0,I,1
6,1,1,0,I,1
6,1,1,0,I,1
6,1,1,0,I,1
7,1,1,0,I,1
7,1,1,0,I,1
7,1,1,0,I,1
7,1,1,0,I,1
7,1,1,0,I,1
7,1,1,0,I,1
7,1,1,0,I,1
7,1,1,0,I,1
7,1,1,0,I,1
7,1,1,0,I,1
7,1,1,0,J,1
7,1,1,0,J,1
7,1,1,0,J,1
7,1,1,0,J,1
7,1,1,0,J,1
7,1,1,0,J,1
8,1,1,0,J,1
8,1,1,0,J,1
6,1,1,0,K,1
7,1,1,0,K,1
7,1,1,0,K,1
8,1,1,0,K,1
8,1,1,0,K,1
6,1,1,0,L,1
7,1,1,0,L,1
7,1,1,0,L,1
7,1,1,0,L,1
7,1,1,0,L,1
4,1,1,0,M,2
4,1,1,0,M,2
6,1,1,0,M,2
6,1,1,0,M,2
6,1,1,0,M,2
6,1,1,0,M,2
5,1,1,0,N,2
6,1,1,0,N,2
6,1,1,0,N,2
7,1,1,0,N,2
7,1,1,0,N,2
7,1,1,0,N,2
7,1,1,0,N,2
7,1,1,0,N,2
7,1,1,0,N,2
7,1,1,0,N,2
7,1,1,0,N,2
7,1,1,0,N,2
8,1,1,0,N,2
6,1,1,0,O,2
6,1,1,0,O,2
6,1,1,0,O,2
7,1,1,0,O,2
7,1,1,0,O,2
7,1,1,0,O,2
7,1,1,0,O,2
7,1,1,0,O,2
7,1,1,0,O,2
7,1,1,0,O,2
8,1,1,0,O,2
6,1,1,0,P,3
6,1,1,0,P,3
6,1,1,0,P,3
6,1,1,0,P,3
7,1,1,0,P,3
7,1,1,0,P,3
7,1,1,0,P,3
7,1,1,0,P,3
6,1,0,1,Q,1
10,1,0,1,Q,1
12,1,0,1,Q,1
34,0,0,1,Q,1
34,0,0,1,Q,1
34,0,0,1,Q,1
34,0,0,1,Q,1
34,0,0,1,Q,1
34,0,0,1,Q,1
34,0,0,1,R,1
34,0,0,1,R,1
34,0,0,1,R,1
34,0,0,1,R,1
34,0,0,1,R,1
34,0,0,1,R,1
34,0,0,1,R,1
34,0,0,1,R,1
34,0,0,1,R,1
34,0,0,1,R,1
34,0,0,1,S,1
34,0,0,1,S,1
34,0,0,1,S,1
34,0,0,1,S,1
34,0,0,1,S,1
34,0,0,1,T,1
34,0,0,1,T,1
34,0,0,1,T,1
34,0,0,1,T,1
34,0,0,1,U,2
34,0,0,1,U,2
34,0,0,1,U,2
34,0,0,1,U,2
34,0,0,1,U,2
4,1,0,1,V,2
34,0,0,1,V,2
34,0,0,1,V,2
34,0,0,1,V,2
34,0,0,1,W,3
34,0,0,1,W,3
34,0,0,1,W,3
34,0,0,1,W,3
34,0,0,1,W,3
34,0,0,1,W,3
34,0,0,1,W,3
34,0,0,1,W,3
34,0,0,1,W,3
8,1,1,1,X,1
11,1,1,1,X,1
12,1,1,1,X,1
13,1,1,1,X,1
15,1,1,1,X,1
15,1,1,1,X,1
15,1,1,1,X,1
17,1,1,1,X,1
20,1,1,1,X,1
21,1,1,1,X,1
24,1,1,1,X,1
27,1,1,1,X,1
29,1,1,1,X,1
31,1,1,1,X,1
32,1,1,1,X,1
8,1,1,1,Y,1
11,1,1,1,Y,1
12,1,1,1,Y,1
13,1,1,1,Y,1
13,1,1,1,Y,1
14,1,1,1,Y,1
14,1,1,1,Y,1
