Number,Sample_Name,Target_Takeoff,Reference_Takeoff
1,13,19.7,14.2
2,13,19.8,13.9
3,22,10.3,23.4
4,22,10.3,23.2
5,23,18.3,14.2
6,23,18.5,14.1
7,24,10.9,23.4
8,24,11.3,23.5
9,25,20,14.2
10,25,20,14.3
11,26,14.5,22.4
12,26,14.5,22.6
13,27,21.6,14.2
14,27,21.5,14.4
15,28,17.2,25.1
16,28,17.5,25.3
17,14,10.3,23.6
18,14,10,23.5
19,15,20.2,14.7
20,15,20.1,14.6
21,16,10,24.1
22,16,10,23.8
23,17,21.2,15
24,17,21,15
25,18,14.8,22.7
26,18,14.6,22.7
27,19,20.8,15.1
28,19,20.9,15.2
29,20,16.2,23.4
30,20,15.9,22.8
31,21,19.5,14.2
32,21,19.4,14.2
33,5,21.9,14.7
34,5,21.8,14.7
35,9,23.6,14.1
36,9,24,14.1
37,6,15.8,28.6
38,6,15.6,28.2
41,10,13.6,26.4
42,10,13.7,26.5
43,7,22.8,14.9
44,7,22.7,14.7
45,8,15.4,23.1
46,8,15.5,22.9
47,11,17.6,19
48,11,17.6,19.2
