Number ,Sample_Name,Target_Takeoff ,Reference_Takeoff
1,1,33.8,23.5
2,1,34.4,23.3
3,2,34.3,24.6
4,2,33.4,24.7
5,3,33.1,25.1
6,3,34.3,25.3
7,4,33.8,23.6
8,4,32.6,23.6
9,5,34.1,24.1
10,5,34.5,23.6
11,6,32.5,18.5
12,6,32.2,18.5
13,7,33.5,21.6
14,7,33.8,21.6
15,8,25.3,19.5
16,8,34.5,19.4
17,9,29.2,22.4
18,9,34.3,22.4
19,10,35,23.4
20,10,34.3,23.2
21,11,32.2,21.6
22,11,33.5,21.9
23,12,33.2,19.4
24,12,32.5,19.5
25,13,29.8,21.3
26,13,30.1,21.3
27,14,32.5,21.4
28,14,31.3,21.3
29,15,30.1,21
30,15,30.3,21
31,16,29.7,21.4
32,16,29,21.3
33,17,28.1,20.1
34,17,28.7,20.2
35,18,30,22
36,18,29.2,22.4
37,19,23.4,19.7
38,19,23.8,19.9
39,20,23.7,19.4
40,20,23.5,19.5
41,21,25.2,20.6
42,21,25.2,20.6
43,22,27.5,23.9
44,22,27,23.7
45,23,24.3,21.7
46,23,24.4,21.9
47,24,24.8,21.7
48,24,24.6,21.9
49,25,17.4,18.5
50,25,17.3,18.3
51,26,13.1,14.3
52,26,13.2,14.1
53,27,14,14.7
54,27,13.9,14.8
55,28,14.6,15
56,28,14.6,14.8
57,29,15.1,17.9
58,29,15.1,18
59,30,14.3,15.6
60,30,14.3,15.6
61,31,14.8,22
62,31,14.8,22.1
63,32,13.8,21.5
64,32,13.7,21.5
65,33,13.2,21.5
66,33,13.2,21.4
67,34,13.4,21
68,34,13.5,21
69,35,12.7,21.3
70,35,12.8,21.4
71,36,12.7,20.9
72,36,12.7,20.9
73,37,13.7,23.6
74,37,13.7,23.6
75,38,14,23.1
76,38,14,23.2
77,39,12.8,22.7
78,39,12.8,22.6
79,40,12.2,22
80,40,12.1,21.8
81,41,13,22.8
82,41,13,23
83,42,13.3,22.4
84,42,13.3,22.7
85,43,12.6,21.7
86,43,12.5,21.7
87,44,14.4,22.9
88,44,14.5,23.1
89,45,13.6,22.9
90,45,13.5,22.9
91,46,12.8,21.8
92,46,13,21.8
93,47,12.4,21.4
94,47,12.5,21.5
95,48,13.1,21.4
96,48,13.1,21.4
97,49,33.4,20.1
98,49,34.9,20.2
99,50,32.5,18
100,50,31.1,18
101,51,31.5,18.1
102,51,30.4,18.1
103,52,30.6,16.8
104,52,30,16.8
105,53,30.1,15.8
106,53,30,15.9
107,54,26.4,14.8
108,54,26.8,14.9
109,55,26,15.5
110,55,26.3,15.3
111,56,26.7,14.9
112,56,26.6,14.9
113,57,26.9,15.6
114,57,27,15.7
115,58,24.5,14.3
116,58,24.6,14.3
117,59,24.2,15.3
118,59,24.1,15.4
119,60,24.2,13.6
120,60,24.1,13.6
121,61,22.6,13.8
122,61,22.6,14
123,62,22.5,14
124,62,22.6,13.9
125,63,22.3,13.3
126,63,22.6,13.3
127,64,21.8,13.7
128,64,21.6,13.9
129,65,20.3,14
130,65,20.3,14
131,66,20.7,13.7
132,66,20.7,13.8
133,67,17.1,14.6
134,67,17.1,14.6
135,68,16.8,13.9
136,68,16.8,14
137,69,18,14.7
138,69,18,14.8
139,70,17.3,13.9
140,70,17.3,14.1
141,71,15.4,13.1
142,71,15.2,13
143,72,18.2,15.6
144,72,18.1,15.8
145,73,14,17.1
146,73,13.9,17.2
147,74,15.2,16.4
148,74,15.2,16.2
149,75,14.9,15.9
150,75,14.7,16.2
151,76,15.1,16.2
152,76,15.2,16.2
153,77,13.3,16.8
154,77,13.2,16.8
155,78,15,16.1
156,78,14.7,15.8
157,79,15,21.1
158,79,15.1,21.3
159,80,13.4,21.1
160,80,13.5,21.3
161,81,14.8,21.4
162,81,14.7,21.4
163,82,14.7,21.4
164,82,14.7,21.5
165,83,13.5,20.9
166,83,13.4,21
167,84,13.7,21.7
168,84,13.7,21.8
169,85,13.2,21.9
170,85,13.1,22
171,86,11.3,20.5
172,86,11.3,20.4
173,87,12.6,21.3
174,87,12.7,21.4
175,88,12.8,20.5
176,88,12.8,20.5
177,89,13.2,22.7
178,89,13.1,22.4
179,90,13.2,21.9
180,90,13.2,21.9
181,91,12.8,21.7
182,91,12.8,21.7
183,92,13,21.7
184,92,12.9,21.7
185,93,11.7,21.4
186,93,11.7,21.4
187,94,11.5,20.8
188,94,11.5,20.9
189,95,12.2,21.4
190,95,12.2,21.7
191,96,11.6,20.8
192,96,11.6,20.8
