Sample,Time,Replicate,Line,Tech_rep
1,0,2,0,1
2,0,3,0,1
3,0,4,0,1
4,0,2,1,1
5,0,3,1,1
6,0,4,1,1
7,2,2,0,1
8,2,3,0,1
9,2,4,0,1
10,2,2,1,1
11,2,3,1,1
12,2,4,1,1
13,4,2,0,1
14,4,3,0,1
15,4,4,0,1
16,4,2,1,1
17,4,3,1,1
18,4,4,1,1
19,6,2,0,1
20,6,3,0,1
21,6,4,0,1
22,6,2,1,1
23,6,3,1,1
24,6,4,1,1
25,10,2,0,1
26,10,3,0,1
27,10,4,0,1
28,10,2,1,1
29,10,3,1,1
30,10,4,1,1
31,24,2,0,1
32,24,3,0,1
33,24,4,0,1
34,24,2,1,1
35,24,3,1,1
36,24,4,1,1
37,48,2,0,1
38,48,3,0,1
39,48,4,0,1
40,48,2,1,1
41,48,3,1,1
42,48,4,1,1
43,72,2,0,1
44,72,3,0,1
45,72,4,0,1
46,72,2,1,1
47,72,3,1,1
48,72,4,1,1
49,0,2,0,2
50,0,3,0,2
51,0,4,0,2
52,0,2,1,2
53,0,3,1,2
54,0,4,1,2
55,2,2,0,2
56,2,3,0,2
57,2,4,0,2
58,2,2,1,2
59,2,3,1,2
60,2,4,1,2
61,4,2,0,2
62,4,3,0,2
63,4,4,0,2
64,4,2,1,2
65,4,3,1,2
66,4,4,1,2
67,6,2,0,2
68,6,3,0,2
69,6,4,0,2
70,6,2,1,2
71,6,3,1,2
72,6,4,1,2
73,10,2,0,2
74,10,3,0,2
75,10,4,0,2
76,10,2,1,2
77,10,3,1,2
78,10,4,1,2
79,24,2,0,2
80,24,3,0,2
81,24,4,0,2
82,24,2,1,2
83,24,3,1,2
84,24,4,1,2
85,48,2,0,2
86,48,3,0,2
87,48,4,0,2
88,48,2,1,2
89,48,3,1,2
90,48,4,1,2
91,72,2,0,2
92,72,3,0,2
93,72,4,0,2
94,72,2,1,2
95,72,3,1,2
96,72,4,1,2
